artist_id,name,followers,popularity,genres,total_releases,releases_last_year,avg_release_interval_days,days_since_last_release,playlist_count,sampled_playlists,total_playlist_followers,avg_playlist_followers,total_markets,top_markets,estimated_monthly_growth_rate,months_since_last_release,growth_category,recency_score,release_velocity,has_playlists,follower_per_release,popularity_to_follower_ratio,playlist_reach
63Uotocmp2cieAZLI0Y4wv,Crime Zcene,6592,31,"['bass house', 'future house']",28,4,121.15384615384616,77.0,0,0.0,0,0.0,185,"['HK', 'TW', 'MO', 'AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG']",2.7125,3.0,0,0.6065306597126334,0.7938931297709924,0,227.31034482758622,8.115872627852514,0.0
1oaELF1Z21iJBfE3tfyyt2,Eric Vanlerberghe,1764,50,[],11,6,274.0,35.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",4.791666666666667,1.0,1,0.8464817248906141,0.5921052631578948,0,147.0,15.389570279344008,0.0
38Z7dMMVB0YYbKn4fDYNz3,Oliver Dollar,31702,49,[],50,8,119.92857142857143,35.0,0,0.0,0,0.0,185,"['AR', 'AU', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR']",4.695833333333334,1.0,1,0.8464817248906141,1.600762267746546,0,621.6078431372549,10.885928804533313,0.0
3HutVQvkOWjDk8fYsWATEr,Klaverson,2486,49,[],19,9,50.44444444444444,58.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",4.491666666666666,2.0,1,0.7165313105737893,3.3563535911602216,0,124.3,14.423453723024776,0.0
53rCVzFVlyntj7jEjnY2oM,Yasumu,17000,53,"['lo-fi', 'lo-fi beats']",50,17,31.46938775510204,49.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",4.858333333333333,2.0,1,0.7165313105737893,8.296812749003985,0,333.3333333333333,12.527464949386564,0.0
2aLLYZ0sdqweMEPFUyYIXJ,NOTSOBAD,18860,61,"['slap house', 'deep house']",50,13,34.69047619047619,70.0,0,0.0,0,0.0,185,"['AR', 'BE', 'BO', 'BR', 'BG', 'CL', 'CO', 'CR', 'CY', 'CZ']",5.591666666666666,2.0,2,0.7165313105737893,6.028708133971292,0,369.80392156862746,14.266429880800473,0.0
28Upea6Tkq0l5oTu0dtX1c,ALLKNIGHT,2275,50,['melodic house'],50,19,20.645833333333332,3.0,1,1.0,70,70.0,185,"['AR', 'AU', 'BO', 'BR', 'CA', 'CL', 'CO', 'CR', 'CY', 'DK']",4.791666666666667,1.0,1,0.8464817248906141,11.25462772521596,1,44.6078431372549,14.885886855712686,35.0
2qPxiZiD34NtmokWN6RoP2,King Topher,21566,36,"['future house', 'tropical house']",50,1,60.142857142857146,112.0,0,0.0,0,0.0,185,"['AR', 'AU', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR']",3.0,4.0,0,0.513417119032592,0.3328050713153724,0,422.8627450980392,8.306470106246325,0.0
2dKZypJTEFmqwehvMnIsWM,Zak Joshua,1232,32,['chill house'],23,0,93.11111111111111,742.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",0.32,24.0,0,0.01831563888873418,0.0,0,51.333333333333336,10.342192124258373,0.0
0WRqpklDf9jCcdVitOJGn6,Carston,2616,59,"['lounge', 'tropical house']",50,23,35.15909090909091,0.0,0,0.0,0,0.0,185,"['NZ', 'TO', 'WS', 'FJ', 'KI', 'MH', 'NR', 'TV', 'AU', 'FM']",5.654166666666667,1.0,2,0.8464817248906141,10.589466341123126,0,51.294117647058826,17.255020348097986,0.0
5YO0geCxpn0X9dUZbKuB2S,Konqwest,1711,6,[],5,5,57.0,41.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",0.5750000000000001,1.0,0,0.8464817248906141,1.7241379310344829,0,285.1666666666667,1.854266478617452,0.0
7C3Cbtr2PkH2l4tOGhtCsk,Shallou,234389,60,[],50,11,60.857142857142854,7.0,4,4.0,3688,922.0,185,"['AR', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR', 'CY']",5.75,1.0,2,0.8464817248906141,3.6320754716981134,1,4595.862745098039,11.173276418369413,737.6
7BnkxdNS3CZUo6nxGNVcVI,Dymz,18086,11,[],12,2,278.6666666666667,100.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",0.9625,3.0,0,0.6065306597126334,0.19438444924406045,0,1391.2307692307693,2.5836257485844354,0.0
3CYrfsHEf7AZRlKUvzTnpA,Rules,32099,58,"['chill house', 'deep house']",15,6,89.0,91.0,49,10.0,36,3.6,185,"['AR', 'BO', 'BR', 'CA', 'CL', 'CO', 'CR', 'CY', 'DO', 'EC']",5.074999999999999,3.0,2,0.6065306597126334,1.5126050420168067,1,2006.1875,12.869936391341888,0.72
6e5TFHHFWLHjX82Vwacq6g,Mark F. Angelo,1386,30,"['chill house', 'tropical house', 'deep house']",37,5,120.0,36.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'CL', 'CO', 'CR', 'CZ']",2.875,1.0,0,0.8464817248906141,1.0,0,36.473684210526315,9.539298260456007,0.0
1R9fj5Tiy9XMFp5ANzS7FA,Jhove,15451,54,"['lo-fi', 'lo-fi beats']",50,5,44.95918367346939,0.0,0,0.0,0,0.0,185,"['AU', 'HK', 'MY', 'NZ', 'PH', 'SG', 'TW', 'ID', 'JP', 'TH']",5.175000000000001,1.0,2,0.8464817248906141,2.001089028042472,0,302.96078431372547,12.890173681161697,0.0
0iUqI72KPizQjkuzlzAaAb,disco hibisco,403,8,[],8,3,104.57142857142857,63.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",0.7333333333333334,2.0,0,0.7165313105737893,0.6687898089171974,0,44.77777777777778,3.058162366263246,0.0
7btR5VXutQv39SDEzcfXEk,Nic Fanciulli,83048,53,"['tech house', 'house']",50,4,118.47916666666667,21.0,1,1.0,17330,17330.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CL', 'CO', 'CR']",5.079166666666667,1.0,1,0.8464817248906141,0.8081941911042514,1,1628.3921568627452,10.773712169094026,8665.0
1U9hBysBGXCrNattYXa6L1,Umbriel,218,29,['lo-fi'],20,8,65.42105263157895,39.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",2.7791666666666663,1.0,0,0.8464817248906141,2.515168229453944,0,10.380952380952381,12.298897926247246,0.0
5wEF5my54dE5vMMmSUz2q3,Glimlip,17585,51,"['lo-fi', 'lo-fi beats', 'jazz beats']",50,12,28.979166666666668,2.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",4.8875,1.0,1,0.8464817248906141,6.103850229600848,0,344.80392156862746,12.013032667303607,0.0
1hg70WTHwGUQ7XDbjy3szw,My Friend,9245,43,"['melodic house', 'deep house', 'progressive house']",50,10,52.285714285714285,0.0,48,10.0,6390,639.0,185,"['AU', 'HK', 'MY', 'NZ', 'PH', 'SG', 'TW', 'ID', 'JP', 'TH']",4.120833333333334,1.0,1,0.8464817248906141,3.6458333333333335,1,181.27450980392157,10.841129386936146,130.40816326530611
7m0d5KbIfUlF3aY9KnTw5U,Jai Nova,6937,45,[],35,5,100.44117647058823,22.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",4.3125,1.0,1,0.8464817248906141,1.1499436302142052,0,192.69444444444446,11.713267645116254,0.0
1LgEmkIWxBhh25V06pRGl2,XYSM,3900,54,"['chill house', 'tropical house']",49,9,58.520833333333336,21.0,1,1.0,950,950.0,185,"['AR', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR', 'CY', 'CZ']",5.175000000000001,1.0,1,0.8464817248906141,3.0501294422216993,1,78.0,15.032667835406594,475.0
4JEwT8UJ2ihmM7xWjrtPqP,Rromarin,2059,42,[],50,5,86.23404255319149,14.0,0,0.0,0,0.0,185,"['HK', 'TW', 'MO', 'AR', 'BE', 'BO', 'BR', 'BG', 'CL', 'CO']",4.025,1.0,1,0.8464817248906141,1.2904997254255903,0,40.372549019607845,12.666777385832017,0.0
0ZwQMCRqfyh1OGQkBh9Cnj,Kideko,34412,42,"['house', 'piano house']",50,6,47.25,7.0,1,1.0,51,51.0,185,"['AR', 'AU', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR']",4.025,1.0,1,0.8464817248906141,2.3300970873786406,1,674.7450980392157,9.257552856612278,25.5
7koJQAjVzXoUpH6pXrihXA,Bodybangers,37982,48,['slap house'],50,8,70.14893617021276,0.0,0,0.0,0,0.0,185,"['HK', 'MY', 'PH', 'SG', 'TW', 'ID', 'JP', 'TH', 'VN', 'KR']",4.6000000000000005,1.0,1,0.8464817248906141,2.3964308476736775,0,744.7450980392157,10.481053826095701,0.0
7h94PcS9flGlPpsM66SD24,Reiny,352,40,[],8,2,104.0,23.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",3.8333333333333335,1.0,0,0.8464817248906141,0.44776119402985076,0,39.111111111111114,15.632886238257717,0.0
5Q8SQMqaQ7raho7aFFj4Mq,Dave Replay,526,18,['nu disco'],50,1,105.0,266.0,0,0.0,0,0.0,185,"['AR', 'BO', 'BR', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DO', 'EC']",1.125,9.0,0,0.22313016014842982,0.2222222222222222,0,10.313725490196079,6.595424383306041,0.0
4ki2ly90U04LtkROtKT7jU,Luh Twizzy,279,2,[],19,8,51.5,15.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",0.19166666666666668,1.0,0,0.8464817248906141,2.9447852760736195,0,13.95,0.812711509291959,0.0
4d2NUjh9ZrzG1ZZdhpSDKH,Ewan McVicar,55208,49,[],50,10,58.45652173913044,7.0,1,1.0,1033,1033.0,185,"['AR', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR', 'CY']",4.695833333333334,1.0,1,0.8464817248906141,3.391496682231506,1,1082.5098039215686,10.333016957110377,516.5
0bUZrFj7rstq07E4iAJHgZ,KC Lights,34483,50,"['house', 'piano house']",50,7,32.770833333333336,107.0,0,0.0,0,0.0,185,"['HK', 'IE', 'MY', 'PH', 'SG', 'TW', 'GB', 'ID', 'TH', 'VN']",4.166666666666667,4.0,1,0.513417119032592,3.3455028211085303,0,676.1372549019608,11.01872287010041,0.0
6b6O55rHSZAXU9Ro4KKGxy,Amadea,2755,35,"['chill house', 'deep house']",7,0,292.3333333333333,455.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",1.3124999999999998,15.0,0,0.0820849986238988,0.0,0,344.375,10.169407405541248,0.0
78wKYRdzGGl4sYUFx5gRAn,Tom Brownlow,1264,32,"['chill house', 'lounge']",50,14,28.729166666666668,0.0,0,0.0,0,0.0,185,"['NZ', 'TO', 'WS', 'FJ', 'KI', 'MH', 'NR', 'TV', 'AU', 'FM']",3.066666666666667,1.0,0,0.8464817248906141,7.151472153245832,0,24.784313725490197,10.30539580592795,0.0
51Rlwvwkj8L3zakIRr6dUV,Seb Wildblood,47448,47,['lo-fi house'],50,7,73.02083333333333,9.0,1,1.0,1275,1275.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",4.504166666666666,1.0,1,0.8464817248906141,2.038422649140546,1,930.3529411764706,10.050660822052167,637.5
4zxtCQ4mwZH38FVCSbpqlZ,THAT KIND,12012,42,['piano house'],50,7,49.8936170212766,91.0,48,10.0,8,0.8,185,"['AR', 'BO', 'BR', 'CA', 'CL', 'CO', 'CR', 'EC', 'SV', 'GT']",3.675,3.0,1,0.6065306597126334,2.62849533954727,1,235.52941176470588,10.294176375252798,0.16326530612244897
6OL9gPy8ipfdwLCSaH5vrs,Lilith Rising,498,2,[],8,1,201.85714285714286,57.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",0.18333333333333335,2.0,0,0.7165313105737893,0.12939001848428835,0,55.333333333333336,0.739135526641833,0.0
1Mh9G47YfuaLdQs44voLrQ,Hoogway,17242,62,"['lo-fi', 'lo-fi beats']",50,41,39.74418604651163,10.0,1,1.0,1,1.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",5.941666666666667,1.0,2,0.8464817248906141,17.635878626208736,1,338.078431372549,14.633549545451505,0.5
05KDKIpxshxrB9BMewaCBW,Love Regenerator,51476,40,[],15,1,118.57142857142857,217.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",2.833333333333333,7.0,0,0.3114032239145977,0.20192307692307693,0,3217.25,8.48952439487741,0.0
37fzXndf2fxVrk7qarhyo0,Leo Stannard,38300,60,[],50,3,65.89795918367346,245.0,0,0.0,0,0.0,185,"['AR', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR', 'CY']",4.0,8.0,2,0.26359713811572677,0.9384975526707812,0,750.9803921568628,13.090969589326267,0.0
0NlGvbM8SmFXmaBb6pu1qg,EZIA,504,39,['deep house'],26,2,99.31818181818181,23.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",3.7375000000000003,1.0,0,0.8464817248906141,0.46397188049209137,0,18.666666666666668,14.386031195604753,0.0
4CA8PTrbq1l5IgyvBA2JSV,Paul Woolford,54403,54,['piano house'],50,3,33.47826086956522,21.0,0,0.0,0,0.0,185,"['HK', 'MY', 'PH', 'SG', 'TW', 'ID', 'TH', 'VN', 'IL', 'SA']",5.175000000000001,1.0,2,0.8464817248906141,1.417808219178082,0,1066.7254901960785,11.402742898479676,0.0
1QOHbhVRpDoNtRkz79si6b,Karen Harding,60022,55,[],50,9,32.765957446808514,56.0,0,0.0,0,0.0,185,"['HK', 'TW', 'MO', 'AR', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",5.041666666666666,2.0,2,0.7165313105737893,4.301694915254237,0,1176.9019607843138,11.510170314881496,0.0
4961tplpADAjhtfTzgBtKk,Ky akasha,3542,50,['lo-fi'],36,7,50.529411764705884,53.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",4.583333333333333,2.0,1,0.7165313105737893,2.607742878013148,0,95.72972972972973,14.082630850608478,0.0
0WHbjg8hVel1R9kq5794HX,Shimza,196465,52,"['afro house', 'gqom', 'tribal house', 'organic house']",50,12,73.35416666666667,28.0,2,2.0,8080,4040.0,185,"['AR', 'AU', 'AT', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO', 'CR']",4.983333333333333,1.0,1,0.8464817248906141,3.48316871598468,1,3852.2549019607845,9.823725901025187,2693.3333333333335
20FV5Wq7ht0cmWWvFdNjPh,Carrick,163,25,['lo-fi'],10,0,140.44444444444446,469.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",0.9375,15.0,0,0.0820849986238988,0.0,0,14.818181818181818,11.170458001311912,0.0
6epVsx5GlfaQOg5cNe4fUP,BVG,7128,49,['lo-fi'],50,0,37.51111111111111,469.0,1,1.0,3767,3767.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",1.8375,15.0,1,0.0820849986238988,0.0,1,139.76470588235293,12.715460415890583,1883.5
5tPvJ39l1IXfzW2jk6jtUp,Ferington,1301,35,['deep house'],6,0,403.2,455.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",1.3124999999999998,15.0,0,0.0820849986238988,0.0,0,185.85714285714286,11.22657485935969,0.0
70zYhpnNC3lzfakeigAD4X,Retrowaves,6452,53,['house'],10,4,93.33333333333333,14.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",5.079166666666667,1.0,1,0.8464817248906141,0.972972972972973,0,586.5454545454545,13.909421492539117,0.0
3gY5phLoPwEPBcHXck53XX,Lily Denning,3185,40,"['liquid funk', 'drum and bass']",31,8,147.92857142857142,7.0,0,0.0,0,0.0,185,"['AU', 'AT', 'BG', 'CY', 'CZ', 'DK', 'DE', 'EE', 'FI', 'FR']",3.8333333333333335,1.0,0,0.8464817248906141,1.3488558811722202,0,99.53125,11.413991318372304,0.0
3IMSh6UlcrbKXwG1lARp5j,Majeur Mineur,3970,46,[],38,7,81.08333333333333,14.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",4.408333333333333,1.0,1,0.8464817248906141,1.8904726181545388,0,101.7948717948718,12.778192813218798,0.0
3Y0jgmHMAPgxpjuiEloPEJ,Austin Tate,651,37,"['chill house', 'deep house']",4,0,135.33333333333334,861.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",0.37,28.0,0,0.009403562551495206,0.0,0,130.2,13.119630115625927,0.0
4MgxKih2gf4BgMkPVOfvrn,MR TOUT LE MONDE,47488,61,[],42,7,61.0,42.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",5.591666666666666,2.0,2,0.7165313105737893,2.307692307692308,0,1104.3720930232557,13.043454117492415,0.0
13rVXSdnUlcpvFQ2iuop8a,SCayos,7630,31,"['lo-fi beats', 'lo-fi']",50,3,29.23404255319149,72.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",2.841666666666667,2.0,0,0.7165313105737893,1.519396551724138,0,149.6078431372549,7.98332595623473,0.0
1wOI9ZKKzVGxBXpv0Eu4DM,PEPTIDE,98,1,['hardcore'],2,2,161.0,70.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",0.09166666666666667,2.0,0,0.7165313105737893,0.31413612565445026,0,32.666666666666664,0.4917814092127232,0.0
4btBTQ1pWqpnDPY4BWMh1S,Spencer Hunt,8751,52,"['lo-fi', 'lo-fi beats']",50,17,43.702127659574465,16.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CA', 'CL', 'CO']",4.983333333333333,1.0,1,0.8464817248906141,6.919745958429561,0,171.58823529411765,13.189420922632044,0.0
5mNpMP01Co4vXZ3U0fWP3C,Camden Cox,13965,56,"['stutter house', 'house']",50,6,42.06976744186046,63.0,0,0.0,0,0.0,185,"['AR', 'AU', 'AT', 'BE', 'BO', 'BR', 'BG', 'CL', 'CO', 'CR']",5.133333333333333,2.0,1,0.7165313105737893,2.49757986447241,0,273.8235294117647,13.509106700258826,0.0
